Mendoza,9316,9377477,123027
San NicolÇ­s de los Arroyos,81334,2044701,119302
San Juan,48663,9884855,119152
Escobar,92412,1871752,116675
Concordia,55003,306944,116485
Pilar,6492,5753113,113428
San Luis,38564,2298807,110136
Ezeiza,66473,8534039,99578
San Rafael,4909,9791572,94651
Tandil,42115,3322506,91101
Yerevan,80382,9421425,1248700
Gjumri,9155,692457,211700
Vanadzor,12103,9122322,172700
Oranjestad,45909,7935385,29034
Sydney,4725,8180425,3276207
Melbourne,31250,9768695,2865329
Brisbane,34557,3998031,1291117
Perth,42647,8348753,1096829
Adelaide,53404,2034471,978100
Canberra,15512,8266917,322723
Gold Coast,79949,4482639,311932
Newcastle,93802,9023771,270324
Central Coast,43292,5938948,227657
Wollongong,76724,5227188,219761
Hobart,24483,9195620,126118
Geelong,92312,5075204,125382
Townsville,66230,7802423,109914
Cairns,52622,3674596,92273
Baku,45857,4697084,1787800
GÇÏncÇÏ,17118,3713354,299300
Sumqayit,89222,6557990,283000
MingÇÏÇõevir,71997,3578197,93900
Nassau,98917,7535744,172000
al-Manama,55084,5398288,148000
Dhaka,16221,5448074,3612850
Chittagong,83176,8417103,1392860
Khulna,91067,2564402,663340
Rajshahi,69235,8844334,294056
Narayanganj,23738,762076,202134
Rangpur,88752,7942293,191398
Mymensingh,26700,6442713,188713
Barisal,33654,2816791,170232
Tungi,61044,4769532,168702
Jessore,26365,8972845,139710
Comilla,18492,5069114,135313
Nawabganj,56544,7865650,130577
Dinajpur,64972,2566057,127815
Bogra,1379,2856952,120170
Sylhet,73902,4543809,117396
Brahmanbaria,23612,3544429,109032
Tangail,34501,7677768,106004
Jamalpur,1709,4160217,103556
Pabna,11117,1398406,103277
Naogaon,61102,2226778,101266
Sirajganj,29294,7466050,99669
Narsinghdi,45542,5703943,98342
Saidpur,30825,759863,96777
Gazipur,98856,2880325,96717
Bridgetown,31059,7116614,6070
Antwerpen,40387,5991385,446525
Gent,64381,4899688,224180
Charleroi,4720,3886387,200827
LiÇùge,96079,4924025,185639
Bruxelles [Brussel],38365,8426178,133859
Brugge,19171,6147286,116246
Schaerbeek,1458,4285060,105692
Namur,28294,6184439,105419
Mons,62774,3414476,90935
Belize City,48451,2576421,55810
Belmopan,9637,7801789,7105
Cotonou,59139,886898,536827
Porto-Novo,37474,8246904,194000
Djougou,74101,8189555,134099
Parakou,40169,4932778,103577
Saint George,31706,723923,1800
Hamilton,30822,2133873,1200
Thimphu,72520,7160676,22000
Santa Cruz de la Sierra,22595,5276923,935361
La Paz,62932,3110996,758141
El Alto,26999,3512149,534466
Cochabamba,71021,7906221,482800
Oruro,37737,5843465,223553
Sucre,8603,3250877,178426
PotosÇð,88379,5558756,140642
